date,year,home_team,away_team,venue_odds,home_odds_avg,away_odds_avg,bookmakers_surveyed,home_odds_open,home_odds_close,away_odds_open,away_odds_close,home_odds_min,home_odds_max,away_odds_min,away_odds_max,home_line_close,away_line_close,home_line_odds_close,away_line_odds_close,implied_home_close,implied_away_close,overround_close,implied_home_open,implied_away_open,overround_open,implied_home_avg,implied_away_avg,overround_avg
2026-03-29,2026,Carlton,Melbourne,,1.95,1.89,5,2.0,2.0,1.8,1.8,1.72,2.0,1.8,1.95,1.5,-1.5,1.9,1.9,0.47368421052631576,0.5263157894736842,1.0555555555555556,0.47368421052631576,0.5263157894736842,1.0555555555555556,0.4921875,0.5078125,1.041921041921042
2026-03-29,2026,Port Adelaide,West Coast,,1.28,4.05,5,1.19,1.24,4.6,4.1,1.19,1.26,3.85,4.6,-27.5,27.5,1.9,1.9,0.7677902621722846,0.23220973782771534,1.0503540519276162,0.7944732297063903,0.2055267702936097,1.0577274388016076,0.7598499061913696,0.24015009380863042,1.0281635802469136
2026-03-28,2026,Essendon,North Melbourne,,2.9,1.49,5,2.55,2.85,1.5,1.43,2.55,2.9,1.42,1.5,14.5,-14.5,1.95,1.85,0.33411214953271023,0.6658878504672897,1.0501778922831555,0.3703703703703704,0.6296296296296295,1.0588235294117647,0.33940774487471526,0.6605922551252846,1.0159685258042122
2026-03-28,2026,Fremantle,Richmond,,1.05,12.0,5,1.07,1.03,8.0,13.0,1.03,1.07,8.0,13.0,-51.5,51.5,1.9,1.9,0.9265858873841768,0.07341411261582324,1.0477968633308439,0.8820286659316426,0.1179713340683572,1.0595794392523366,0.9195402298850576,0.08045977011494253,1.0357142857142856
2026-03-28,2026,St Kilda,Brisbane Lions,,2.42,1.6,5,2.45,2.3,1.55,1.62,2.3,2.6,1.5,1.62,9.5,-9.5,1.85,1.95,0.413265306122449,0.586734693877551,1.0520665593129361,0.3875,0.6125,1.053324555628703,0.39800995024875624,0.6019900497512438,1.0382231404958677
2026-03-27,2026,Collingwood,Greater Western Sydney,,1.42,3.1,5,1.61,1.4,2.2,3.0,1.4,1.61,2.2,3.0,-15.5,15.5,1.8,2.0,0.6818181818181818,0.3181818181818181,1.0476190476190477,0.5774278215223098,0.4225721784776903,1.0756634669678147,0.6858407079646017,0.31415929203539816,1.0268059972739665
2026-03-26,2026,Geelong,Adelaide,,1.27,4.2,5,1.51,1.23,2.45,4.2,1.23,1.53,2.4,4.2,-25.5,25.5,1.9,1.9,0.7734806629834253,0.22651933701657456,1.051103368176539,0.6186868686868687,0.38131313131313127,1.0704149209352616,0.7678244972577696,0.23217550274223034,1.0254968128983877
2026-03-22,2026,West Coast,North Melbourne,,2.7,1.48,5,2.4,2.75,1.57,1.45,2.4,2.75,1.45,1.57,14.5,-14.5,1.9,1.9,0.3452380952380952,0.6547619047619047,1.053291536050157,0.3954659949622167,0.6045340050377834,1.0536093418259023,0.354066985645933,0.6459330143540669,1.0460460460460461
2026-03-22,2026,Port Adelaide,Essendon,,1.38,3.25,5,1.37,1.42,3.05,2.9,1.32,1.42,2.9,3.1,-17.5,17.5,1.9,1.9,0.6712962962962963,0.32870370370370366,1.0490529383195728,0.6900452488687784,0.3099547511312218,1.0577958597582864,0.7019438444924406,0.2980561555075594,1.032329988851728
2026-03-21,2026,Fremantle,Melbourne,,1.33,3.35,5,1.32,1.32,3.35,3.4,1.29,1.35,3.2,3.6,-20.5,20.5,1.85,1.95,0.7203389830508474,0.2796610169491525,1.0516934046345812,0.7173447537473233,0.28265524625267663,1.0560832202623247,0.7158119658119658,0.2841880341880342,1.0503871619346874
2026-03-21,2026,Greater Western Sydney,St Kilda,,1.57,2.45,5,1.45,1.6,2.7,2.35,1.45,1.6,2.35,2.75,-8.5,8.5,1.95,1.85,0.5949367088607596,0.40506329113924056,1.050531914893617,0.6506024096385543,0.3493975903614458,1.0600255427841634,0.609452736318408,0.39054726368159204,1.045105940465358
2026-03-21,2026,Richmond,Gold Coast,,5.0,1.21,5,5.65,4.8,1.14,1.19,4.8,5.65,1.14,1.19,32.5,-32.5,1.9,1.9,0.1986644407345576,0.8013355592654424,1.048669467787115,0.16789396170839468,0.8321060382916052,1.0541841328986183,0.19484702093397746,0.8051529790660225,1.0264462809917356
2026-03-20,2026,Adelaide,Western Bulldogs,,1.95,1.88,5,1.9,1.95,1.9,1.85,1.9,1.95,1.85,1.9,1.5,-1.5,1.85,1.95,0.48684210526315796,0.513157894736842,1.0533610533610533,0.5,0.5,1.0526315789473684,0.4908616187989557,0.5091383812010444,1.044735406437534
2026-03-19,2026,Hawthorn,Sydney,,1.37,3.35,5,1.53,1.35,2.5,3.2,1.35,1.53,2.5,3.2,-19.5,19.5,1.9,1.9,0.7032967032967032,0.2967032967032967,1.0532407407407407,0.6203473945409429,0.3796526054590571,1.05359477124183,0.7097457627118644,0.2902542372881356,1.0284344699858372
2026-03-15,2026,Gold Coast,West Coast,,1.01,21.0,4,1.01,1.01,13.0,16.0,1.01,1.01,13.0,16.0,-66.5,66.5,1.9,1.9,0.940623162845385,0.059376837154614934,1.05259900990099,0.92790863668808,0.07209136331192006,1.067022086824067,0.9541117673784643,0.045888232621535664,1.0377180575200378
2026-03-15,2026,Melbourne,St Kilda,,2.5,1.62,5,2.25,2.4,1.59,1.58,2.25,2.45,1.51,1.6,10.5,-10.5,1.9,1.9,0.39698492462311563,0.6030150753768844,1.0495780590717299,0.41406249999999994,0.5859374999999999,1.0733752620545074,0.3932038834951457,0.6067961165048543,1.017283950617284
2026-03-15,2026,North Melbourne,Port Adelaide,,2.13,1.75,5,2.2,2.4,1.62,1.58,2.2,2.4,1.58,1.65,10.5,-10.5,1.9,1.9,0.39698492462311563,0.6030150753768844,1.0495780590717299,0.42408376963350786,0.5759162303664922,1.0718294051627384,0.4510309278350516,0.5489690721649485,1.0409121395036887
2026-03-14,2026,Collingwood,Adelaide,,1.63,2.45,5,1.74,1.74,2.0,2.1,1.7,1.74,2.0,2.15,-3.5,3.5,1.9,1.9,0.5468749999999999,0.45312499999999994,1.0509031198686372,0.5347593582887701,0.46524064171123,1.0747126436781609,0.6004901960784313,0.3995098039215686,1.02166019782146
2026-03-14,2026,Sydney,Brisbane Lions,,1.52,2.8,5,1.48,1.39,2.55,3.0,1.39,1.5,2.55,3.0,-18.5,18.5,1.85,1.95,0.683371298405467,0.316628701594533,1.0527577937649881,0.6327543424317617,0.36724565756823824,1.0678325384207739,0.6481481481481481,0.3518518518518518,1.0150375939849625
2026-03-14,2026,Geelong,Fremantle,,1.49,3.0,5,1.48,1.5,2.55,2.6,1.47,1.55,2.45,2.6,-13.5,13.5,1.9,1.9,0.6341463414634148,0.3658536585365854,1.051282051282051,0.6327543424317617,0.36724565756823824,1.0678325384207739,0.6681514476614699,0.33184855233853,1.0044742729306488
2026-03-14,2026,Western Bulldogs,Greater Western Sydney,,1.32,3.5,5,1.29,1.35,3.4,3.2,1.28,1.35,3.2,3.45,-20.5,20.5,1.9,1.9,0.7032967032967032,0.2967032967032967,1.0532407407407407,0.7249466950959489,0.2750533049040512,1.0693114455084358,0.7261410788381742,0.2738589211618257,1.0432900432900434
2026-03-13,2026,Essendon,Hawthorn,,5.5,1.21,5,3.6,4.3,1.26,1.22,3.6,4.3,1.22,1.26,29.5,-29.5,1.9,1.9,0.2210144927536232,0.7789855072463768,1.0522302706824247,0.2592592592592593,0.7407407407407407,1.0714285714285714,0.18032786885245902,0.819672131147541,1.0082644628099173
2026-03-12,2026,Carlton,Richmond,,1.33,3.45,5,1.42,1.34,2.75,3.25,1.32,1.42,2.75,3.4,-20.5,20.5,1.9,1.9,0.7080610021786492,0.2919389978213508,1.0539609644087256,0.6594724220623501,0.3405275779376499,1.0678617157490398,0.7217573221757322,0.2782426778242678,1.0417347717118883
2026-03-08,2026,St Kilda,Collingwood,,1.87,1.97,6,1.8,1.7,2.0,2.15,1.7,1.85,1.95,2.15,-3.5,3.5,1.9,1.9,0.5584415584415584,0.44155844155844154,1.0533515731874146,0.5263157894736842,0.47368421052631576,1.0555555555555556,0.5130208333333333,0.4869791666666667,1.0423735714867395
2026-03-07,2026,Brisbane Lions,Western Bulldogs,,1.43,3.3,6,1.47,1.34,2.7,3.3,1.32,1.47,2.7,3.4,-19.5,19.5,1.9,1.9,0.7112068965517242,0.2887931034482759,1.0492989597467208,0.6474820143884892,0.35251798561151076,1.0506424792139077,0.6976744186046512,0.3023255813953488,1.0023310023310024
2026-03-07,2026,Greater Western Sydney,Hawthorn,,2.5,1.56,6,2.75,1.05,1.45,9.0,1.05,2.75,1.45,9.0,-30.5,30.5,1.9,1.9,0.8955223880597014,0.1044776119402985,1.0634920634920635,0.3452380952380952,0.6547619047619047,1.053291536050157,0.38423645320197053,0.6157635467980296,1.0410256410256409
