game_id,year,round,roundname,date,localtime,venue,home_team,away_team,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,winner,is_final,is_grand_final
1456,2012,1,Round 1,2012-03-24 19:20:00,2012-03-24 19:20:00,Stadium Australia,Greater Western Sydney,Sydney,37,100,5,7,14,16,Sydney,0,0
1458,2012,1,Round 1,2012-03-29 19:45:00,2012-03-29 19:45:00,M.C.G.,Richmond,Carlton,81,125,12,9,18,17,Carlton,0,0
1459,2012,1,Round 1,2012-03-30 19:50:00,2012-03-30 19:50:00,M.C.G.,Hawthorn,Collingwood,137,115,20,17,16,19,Hawthorn,0,0
1460,2012,1,Round 1,2012-03-31 13:45:00,2012-03-31 13:45:00,M.C.G.,Melbourne,Brisbane Lions,78,119,11,12,17,17,Brisbane Lions,0,0
1461,2012,1,Round 1,2012-03-31 16:45:00,2012-03-31 15:45:00,Carrara,Gold Coast,Adelaide,68,137,10,8,19,23,Adelaide,0,0
1463,2012,1,Round 1,2012-03-31 19:45:00,2012-03-31 16:45:00,Subiaco,Fremantle,Geelong,105,101,16,9,15,11,Fremantle,0,0
1462,2012,1,Round 1,2012-03-31 19:45:00,2012-03-31 19:45:00,Docklands,North Melbourne,Essendon,102,104,15,12,14,20,Essendon,0,0
1464,2012,1,Round 1,2012-04-01 13:10:00,2012-04-01 13:10:00,Docklands,Western Bulldogs,West Coast,87,136,12,15,21,10,West Coast,0,0
1465,2012,1,Round 1,2012-04-01 16:40:00,2012-04-01 16:10:00,Football Park,Port Adelaide,St Kilda,89,85,13,11,13,7,Port Adelaide,0,0
1466,2012,2,Round 2,2012-04-05 19:40:00,2012-04-05 19:40:00,Gabba,Brisbane Lions,Carlton,63,154,9,9,23,16,Carlton,0,0
1467,2012,2,Round 2,2012-04-07 13:45:00,2012-04-07 13:45:00,Docklands,Essendon,Port Adelaide,111,86,16,15,13,8,Essendon,0,0
1468,2012,2,Round 2,2012-04-07 14:10:00,2012-04-07 14:10:00,S.C.G.,Sydney,Fremantle,94,81,14,10,12,9,Sydney,0,0
1469,2012,2,Round 2,2012-04-07 16:40:00,2012-04-07 14:40:00,Subiaco,West Coast,Melbourne,166,58,25,16,9,4,West Coast,0,0
1471,2012,2,Round 2,2012-04-07 19:40:00,2012-04-07 19:10:00,Football Park,Adelaide,Western Bulldogs,82,64,11,16,9,10,Adelaide,0,0
1470,2012,2,Round 2,2012-04-07 19:40:00,2012-04-07 19:40:00,M.C.G.,Collingwood,Richmond,85,64,12,13,8,16,Collingwood,0,0
1472,2012,2,Round 2,2012-04-08 13:10:00,2012-04-08 13:10:00,Bellerive Oval,North Melbourne,Greater Western Sydney,183,54,28,15,8,6,North Melbourne,0,0
1473,2012,2,Round 2,2012-04-08 16:40:00,2012-04-08 16:40:00,Docklands,St Kilda,Gold Coast,139,47,21,13,7,5,St Kilda,0,0
1474,2012,2,Round 2,2012-04-09 15:10:00,2012-04-09 15:10:00,M.C.G.,Geelong,Hawthorn,92,90,14,8,13,12,Geelong,0,0
1493,2012,3,Round 3,2012-04-13 19:50:00,2012-04-13 19:50:00,M.C.G.,Carlton,Collingwood,122,62,18,14,9,8,Carlton,0,0
1494,2012,3,Round 3,2012-04-14 13:45:00,2012-04-14 13:45:00,M.C.G.,Richmond,Melbourne,133,74,20,13,11,8,Richmond,0,0
1511,2012,3,Round 3,2012-04-14 14:10:00,2012-04-14 13:40:00,Football Park,Port Adelaide,Sydney,83,105,12,11,16,9,Sydney,0,0
1512,2012,3,Round 3,2012-04-14 16:40:00,2012-04-14 14:40:00,Subiaco,Fremantle,Brisbane Lions,64,35,8,16,5,5,Fremantle,0,0
1513,2012,3,Round 3,2012-04-14 19:40:00,2012-04-14 19:40:00,Carrara,Gold Coast,Essendon,88,105,13,10,15,15,Essendon,0,0
1514,2012,3,Round 3,2012-04-14 19:40:00,2012-04-14 19:40:00,Docklands,Western Bulldogs,St Kilda,40,103,5,10,15,13,St Kilda,0,0
1521,2012,3,Round 3,2012-04-15 13:10:00,2012-04-15 13:10:00,Blacktown,Greater Western Sydney,West Coast,69,150,10,9,23,12,West Coast,0,0
1522,2012,3,Round 3,2012-04-15 15:15:00,2012-04-15 15:15:00,M.C.G.,Hawthorn,Adelaide,140,84,21,14,12,12,Hawthorn,0,0
1523,2012,3,Round 3,2012-04-15 16:40:00,2012-04-15 16:40:00,Docklands,North Melbourne,Geelong,131,114,20,11,16,18,North Melbourne,0,0
1524,2012,4,Round 4,2012-04-20 19:50:00,2012-04-20 19:50:00,Docklands,St Kilda,Fremantle,79,92,11,13,14,8,Fremantle,0,0
1525,2012,4,Round 4,2012-04-21 13:45:00,2012-04-21 13:45:00,M.C.G.,Carlton,Essendon,79,109,11,13,15,19,Essendon,0,0
1526,2012,4,Round 4,2012-04-21 14:10:00,2012-04-21 14:10:00,Docklands,Collingwood,Port Adelaide,97,73,14,13,10,13,Collingwood,0,0
1527,2012,4,Round 4,2012-04-21 16:40:00,2012-04-21 16:10:00,Football Park,Adelaide,Greater Western Sydney,96,50,13,18,7,8,Adelaide,0,0
1529,2012,4,Round 4,2012-04-21 19:40:00,2012-04-21 19:40:00,Gabba,Brisbane Lions,Gold Coast,111,46,17,9,6,10,Brisbane Lions,0,0
1528,2012,4,Round 4,2012-04-21 19:40:00,2012-04-21 17:40:00,Subiaco,West Coast,Hawthorn,51,46,5,21,5,16,West Coast,0,0
1530,2012,4,Round 4,2012-04-22 13:10:00,2012-04-22 13:10:00,GMHBA Stadium,Geelong,Richmond,75,65,11,9,9,11,Geelong,0,0
1531,2012,4,Round 4,2012-04-22 15:15:00,2012-04-22 15:15:00,S.C.G.,Sydney,North Melbourne,113,77,17,11,10,17,Sydney,0,0
1532,2012,4,Round 4,2012-04-22 16:40:00,2012-04-22 16:40:00,M.C.G.,Melbourne,Western Bulldogs,67,88,9,13,13,10,Western Bulldogs,0,0
1533,2012,5,Round 5,2012-04-25 14:40:00,2012-04-25 14:40:00,M.C.G.,Collingwood,Essendon,80,79,11,14,11,13,Collingwood,0,0
1534,2012,5,Round 5,2012-04-27 20:45:00,2012-04-27 18:45:00,Subiaco,Fremantle,Carlton,57,65,7,15,10,5,Carlton,0,0
1546,2012,5,Round 5,2012-04-28 13:45:00,2012-04-28 13:45:00,UNSW Canberra Oval,Greater Western Sydney,Western Bulldogs,62,104,9,8,15,14,Western Bulldogs,0,0
1547,2012,5,Round 5,2012-04-28 16:40:00,2012-04-28 16:40:00,Docklands,North Melbourne,Gold Coast,127,93,17,25,13,15,North Melbourne,0,0
1548,2012,5,Round 5,2012-04-28 19:40:00,2012-04-28 19:40:00,M.C.G.,Melbourne,St Kilda,66,84,10,6,12,12,St Kilda,0,0
1549,2012,5,Round 5,2012-04-28 19:45:00,2012-04-28 19:45:00,Gabba,Brisbane Lions,Geelong,41,79,4,17,12,7,Geelong,0,0
1550,2012,5,Round 5,2012-04-29 13:10:00,2012-04-29 13:10:00,University of Tasmania Stadium,Hawthorn,Sydney,69,106,10,9,16,10,Sydney,0,0
1551,2012,5,Round 5,2012-04-29 15:15:00,2012-04-29 15:15:00,Docklands,Richmond,West Coast,97,107,14,13,16,11,West Coast,0,0
1552,2012,5,Round 5,2012-04-29 16:40:00,2012-04-29 16:10:00,Football Park,Adelaide,Port Adelaide,110,91,16,14,14,7,Adelaide,0,0
1553,2012,6,Round 6,2012-05-04 19:50:00,2012-05-04 19:50:00,Docklands,Western Bulldogs,Collingwood,77,98,11,11,15,8,Collingwood,0,0
1554,2012,6,Round 6,2012-05-05 13:40:00,2012-05-05 13:40:00,Docklands,Essendon,Brisbane Lions,129,62,19,15,9,8,Essendon,0,0
1557,2012,6,Round 6,2012-05-05 13:45:00,2012-05-05 13:45:00,GMHBA Stadium,Geelong,Melbourne,119,76,17,17,11,10,Geelong,0,0
1558,2012,6,Round 6,2012-05-05 16:40:00,2012-05-05 16:40:00,Carrara,Gold Coast,Fremantle,87,94,14,3,14,10,Fremantle,0,0
1559,2012,6,Round 6,2012-05-05 19:40:00,2012-05-05 19:40:00,M.C.G.,St Kilda,Hawthorn,88,123,13,10,18,15,Hawthorn,0,0
1560,2012,6,Round 6,2012-05-05 19:40:00,2012-05-05 19:40:00,S.C.G.,Sydney,Adelaide,94,99,14,10,15,9,Adelaide,0,0
1561,2012,6,Round 6,2012-05-06 13:10:00,2012-05-06 13:10:00,Docklands,Carlton,Greater Western Sydney,110,43,15,20,6,7,Carlton,0,0
1562,2012,6,Round 6,2012-05-06 15:15:00,2012-05-06 14:45:00,Football Park,Port Adelaide,Richmond,54,91,8,6,13,13,Richmond,0,0
1563,2012,6,Round 6,2012-05-06 16:40:00,2012-05-06 14:40:00,Subiaco,West Coast,North Melbourne,120,95,17,18,15,5,West Coast,0,0
1564,2012,7,Round 7,2012-05-11 19:50:00,2012-05-11 19:50:00,M.C.G.,Melbourne,Hawthorn,49,115,6,13,15,25,Hawthorn,0,0
1565,2012,7,Round 7,2012-05-12 13:15:00,2012-05-12 12:45:00,Football Park,Adelaide,Geelong,122,72,19,8,10,12,Adelaide,0,0
1566,2012,7,Round 7,2012-05-12 13:40:00,2012-05-12 13:40:00,UNSW Canberra Oval,Greater Western Sydney,Gold Coast,94,67,13,16,9,13,Greater Western Sydney,0,0
1567,2012,7,Round 7,2012-05-12 16:40:00,2012-05-12 16:40:00,M.C.G.,Richmond,Sydney,91,62,13,13,8,14,Richmond,0,0
1569,2012,7,Round 7,2012-05-12 19:40:00,2012-05-12 19:40:00,Gabba,Brisbane Lions,Collingwood,58,116,8,10,17,14,Collingwood,0,0
1568,2012,7,Round 7,2012-05-12 19:40:00,2012-05-12 19:40:00,Docklands,Essendon,West Coast,113,52,16,17,7,10,Essendon,0,0
1570,2012,7,Round 7,2012-05-13 13:10:00,2012-05-13 13:10:00,Docklands,North Melbourne,Western Bulldogs,83,101,12,11,15,11,Western Bulldogs,0,0
1571,2012,7,Round 7,2012-05-13 16:40:00,2012-05-13 14:40:00,Subiaco,Fremantle,Port Adelaide,87,47,12,15,7,5,Fremantle,0,0
1572,2012,7,Round 7,2012-05-14 19:40:00,2012-05-14 19:40:00,Docklands,St Kilda,Carlton,122,98,19,8,14,14,St Kilda,0,0
1573,2012,8,Round 8,2012-05-18 19:50:00,2012-05-18 19:50:00,M.C.G.,Collingwood,Geelong,96,84,14,12,11,18,Collingwood,0,0
1574,2012,8,Round 8,2012-05-19 13:45:00,2012-05-19 13:15:00,Football Park,Port Adelaide,North Melbourne,95,93,14,11,14,9,Port Adelaide,0,0
1586,2012,8,Round 8,2012-05-19 14:10:00,2012-05-19 14:10:00,University of Tasmania Stadium,Hawthorn,Fremantle,119,63,17,17,9,9,Hawthorn,0,0
1587,2012,8,Round 8,2012-05-19 16:40:00,2012-05-19 16:40:00,S.C.G.,Sydney,Melbourne,138,37,21,12,5,7,Sydney,0,0
1588,2012,8,Round 8,2012-05-19 19:40:00,2012-05-19 19:10:00,Marrara Oval,Western Bulldogs,Gold Coast,72,34,9,18,4,10,Western Bulldogs,0,0
1589,2012,8,Round 8,2012-05-19 19:50:00,2012-05-19 19:50:00,M.C.G.,Essendon,Richmond,128,109,19,14,15,19,Essendon,0,0
1590,2012,8,Round 8,2012-05-20 13:10:00,2012-05-20 13:10:00,Gabba,Brisbane Lions,Greater Western Sydney,132,40,19,18,5,10,Brisbane Lions,0,0
1591,2012,8,Round 8,2012-05-20 15:15:00,2012-05-20 15:15:00,Docklands,Carlton,Adelaide,55,124,8,7,19,10,Adelaide,0,0
1592,2012,8,Round 8,2012-05-20 16:40:00,2012-05-20 14:40:00,Subiaco,West Coast,St Kilda,121,91,18,13,13,13,West Coast,0,0
1593,2012,9,Round 9,2012-05-25 19:50:00,2012-05-25 19:50:00,Docklands,Western Bulldogs,Geelong,75,95,11,9,14,11,Geelong,0,0
1594,2012,9,Round 9,2012-05-26 13:45:00,2012-05-26 13:45:00,M.C.G.,Richmond,Hawthorn,137,75,21,11,10,15,Richmond,0,0
1599,2012,9,Round 9,2012-05-26 14:10:00,2012-05-26 14:10:00,Carrara,Gold Coast,Port Adelaide,70,118,10,10,17,16,Port Adelaide,0,0
1600,2012,9,Round 9,2012-05-26 16:40:00,2012-05-26 16:40:00,Docklands,St Kilda,Sydney,111,83,16,15,12,11,St Kilda,0,0
1602,2012,9,Round 9,2012-05-26 19:40:00,2012-05-26 19:10:00,Football Park,Adelaide,Collingwood,49,75,6,13,10,15,Collingwood,0,0
1601,2012,9,Round 9,2012-05-26 19:40:00,2012-05-26 19:40:00,Sydney Showground,Greater Western Sydney,Essendon,53,119,7,11,18,11,Essendon,0,0
1603,2012,9,Round 9,2012-05-27 13:10:00,2012-05-27 13:10:00,Docklands,North Melbourne,Brisbane Lions,112,96,17,10,15,6,North Melbourne,0,0
1604,2012,9,Round 9,2012-05-27 15:15:00,2012-05-27 15:15:00,M.C.G.,Carlton,Melbourne,107,49,15,17,6,13,Carlton,0,0
1605,2012,9,Round 9,2012-05-27 16:40:00,2012-05-27 14:40:00,Subiaco,West Coast,Fremantle,84,36,11,18,5,6,West Coast,0,0
1606,2012,10,Round 10,2012-06-01 19:50:00,2012-06-01 19:50:00,Docklands,St Kilda,Richmond,113,121,16,17,18,13,Richmond,0,0
1607,2012,10,Round 10,2012-06-02 13:45:00,2012-06-02 13:45:00,GMHBA Stadium,Geelong,Greater Western Sydney,126,61,19,12,9,7,Geelong,0,0
1608,2012,10,Round 10,2012-06-02 14:10:00,2012-06-02 14:10:00,University of Tasmania Stadium,Hawthorn,North Melbourne,174,59,27,12,9,5,Hawthorn,0,0
1609,2012,10,Round 10,2012-06-02 16:40:00,2012-06-02 14:40:00,Subiaco,Fremantle,Adelaide,82,111,12,10,17,9,Adelaide,0,0
1610,2012,10,Round 10,2012-06-02 19:40:00,2012-06-02 19:40:00,M.C.G.,Essendon,Melbourne,52,58,6,16,8,10,Melbourne,0,0
1611,2012,10,Round 10,2012-06-02 19:40:00,2012-06-02 19:10:00,Football Park,Port Adelaide,Carlton,99,45,14,15,6,9,Port Adelaide,0,0
1612,2012,10,Round 10,2012-06-03 13:10:00,2012-06-03 13:10:00,Gabba,Brisbane Lions,West Coast,102,100,16,6,15,10,Brisbane Lions,0,0
1613,2012,10,Round 10,2012-06-03 15:15:00,2012-06-03 15:15:00,S.C.G.,Sydney,Western Bulldogs,132,40,20,12,5,10,Sydney,0,0
