temp_c,temp_max_c,temp_min_c,rain_mm,wind_kmh,wind_gust_kmh,humidity,conditions,venue,date_str,lat,lon
7.9,11.8,3.5,0.0,27.7,52.6,67.1,Partially cloudy,M.C.G.,2017-07-16,-37.82,144.9834
14.6,17.3,12.6,0.0,13.0,32.4,53.0,Partially cloudy,M.C.G.,2021-04-17,-37.82,144.9834
8.5,14.5,2.8,0.018,12.2,24.1,86.7,"Rain, Partially cloudy",M.C.G.,2014-06-09,-37.82,144.9834
18.2,21.7,15.3,0.0,21.7,40.3,51.5,Partially cloudy,Docklands,2016-04-02,-37.8165,144.9475
9.1,12.4,7.2,0.523,18.0,26.6,87.2,"Rain, Partially cloudy",Bellerive Oval,2021-06-19,-42.8775,147.3764
6.7,14.7,2.2,0.0,18.4,30.6,87.7,Clear,University of Tasmania Stadium,2018-06-02,-41.4281,147.1383
6.4,12.0,1.0,1.215,13.0,25.6,86.3,"Rain, Partially cloudy",York Park,2024-07-13,-41.4281,147.1383
5.8,13.6,-0.9,0.059,18.7,0.0,80.5,Rain,M.C.G.,2013-06-22,-37.82,144.9834
9.8,16.6,4.6,0.0,22.2,46.1,80.8,Partially cloudy,M.C.G.,2020-06-18,-37.82,144.9834
11.1,13.1,9.0,1.709,35.3,51.8,80.8,"Rain, Partially cloudy",Adelaide Oval,2019-07-14,-34.9156,138.5961
12.4,15.5,7.2,0.129,18.7,34.2,74.9,"Rain, Partially cloudy",Adelaide Oval,2022-07-23,-34.9156,138.5961
8.1,12.7,3.9,0.0,20.6,31.0,83.1,Partially cloudy,M.C.G.,2014-07-13,-37.82,144.9834
13.9,17.0,11.6,2.103,35.7,59.4,80.5,"Rain, Partially cloudy",Stadium Australia,2014-08-30,-33.8475,151.0633
12.4,15.1,8.6,0.0,22.1,0.0,77.3,Partially cloudy,M.C.G.,2013-05-26,-37.82,144.9834
16.4,20.0,11.9,0.0,15.7,34.6,61.3,Partially cloudy,Marvel Stadium,2019-05-03,-37.8165,144.9475
19.0,23.4,15.7,0.161,24.5,33.8,75.6,"Rain, Partially cloudy",Carrara,2017-05-06,-28.0067,153.3667
17.6,21.7,12.6,0.006,41.2,63.0,61.9,"Rain, Partially cloudy",Stadium Australia,2016-09-10,-33.8475,151.0633
13.0,15.1,11.0,0.092,16.9,47.5,71.2,"Rain, Partially cloudy",M.C.G.,2022-09-10,-37.82,144.9834
12.0,15.1,6.8,0.048,26.7,37.4,84.1,"Rain, Partially cloudy",Docklands,2014-06-21,-37.8165,144.9475
16.0,21.5,9.0,0.11,31.3,0.0,73.6,"Rain, Partially cloudy",Subiaco,2013-09-21,-31.9444,115.8308
10.3,12.8,8.1,0.673,16.8,56.9,68.6,"Rain, Partially cloudy",Docklands,2016-06-11,-37.8165,144.9475
11.5,13.8,9.1,0.0,21.1,42.8,78.7,Overcast,Docklands,2015-05-22,-37.8165,144.9475
13.2,17.0,10.3,1.107,22.2,46.1,73.2,"Rain, Partially cloudy",Docklands,2017-08-12,-37.8165,144.9475
11.6,19.8,4.2,0.002,13.7,23.0,77.6,"Rain, Partially cloudy",Manuka Oval,2024-04-13,-35.3178,149.1347
11.3,14.2,9.1,0.196,28.3,0.0,89.0,"Rain, Partially cloudy",Docklands,2013-06-02,-37.8165,144.9475
19.5,26.0,11.0,0.0,18.4,23.0,66.6,Clear,Adelaide Oval,2026-03-22,-34.9156,138.5961
22.8,29.0,16.4,0.0,24.3,50.4,29.5,Clear,M.C.G.,2023-09-30,-37.82,144.9834
21.3,28.1,15.7,0.0,20.8,45.7,45.1,Clear,Perth Stadium,2024-03-24,-31.9512,115.8891
17.3,22.7,11.9,0.0,24.1,50.4,46.0,Overcast,M.C.G.,2025-05-04,-37.82,144.9834
13.8,19.0,9.8,11.641,31.9,85.7,62.7,"Rain, Partially cloudy",M.C.G.,2018-04-14,-37.82,144.9834
15.5,21.9,10.6,0.0,15.7,29.5,39.0,Partially cloudy,Adelaide Oval,2021-05-22,-34.9156,138.5961
18.0,23.7,11.9,0.0,15.4,32.0,59.3,Partially cloudy,Carrara,2021-05-15,-28.0067,153.3667
22.8,27.4,19.4,0.0,22.5,45.0,69.5,Partially cloudy,Carrara,2025-04-27,-28.0067,153.3667
11.3,14.3,9.1,0.176,28.1,0.0,88.8,"Rain, Partially cloudy",M.C.G.,2013-06-02,-37.82,144.9834
13.1,17.9,8.6,0.206,14.3,24.8,69.2,"Rain, Partially cloudy",Docklands,2016-08-14,-37.8165,144.9475
9.3,11.0,7.8,1.255,34.1,64.4,69.7,"Rain, Partially cloudy",Adelaide Oval,2020-08-22,-34.9156,138.5961
10.7,13.9,8.5,4.905,38.9,77.4,69.6,"Rain, Partially cloudy",Adelaide Oval,2017-08-18,-34.9156,138.5961
20.8,25.5,17.1,0.0,27.7,33.1,69.4,Partially cloudy,Carrara,2016-05-21,-28.0067,153.3667
12.5,16.5,8.9,1.481,28.9,63.4,69.0,"Rain, Partially cloudy",Docklands,2021-08-20,-37.8165,144.9475
11.7,15.6,8.7,0.0,10.3,26.6,80.2,Partially cloudy,Docklands,2023-08-27,-37.8165,144.9475
16.3,20.9,11.0,3.0,16.8,30.6,78.0,"Rain, Partially cloudy",Gabba,2025-09-13,-27.4858,153.0381
14.3,17.5,11.7,0.434,12.4,24.5,89.5,"Rain, Partially cloudy",Perth Stadium,2023-07-30,-31.9512,115.8891
9.4,13.7,4.6,0.083,15.1,20.9,80.5,"Rain, Partially cloudy",Adelaide Oval,2024-08-03,-34.9156,138.5961
13.6,17.7,10.1,1.041,35.3,63.4,52.7,"Rain, Partially cloudy",M.C.G.,2018-08-03,-37.82,144.9834
17.8,26.1,9.3,0.0,25.5,0.0,67.1,Partially cloudy,Docklands,2013-04-06,-37.8165,144.9475
19.0,25.0,14.6,0.204,15.3,20.5,79.4,"Rain, Partially cloudy",M.C.G.,2014-03-30,-37.82,144.9834
10.8,12.2,9.4,22.927,35.4,67.3,89.0,"Rain, Overcast",Adelaide Oval,2025-07-26,-34.9156,138.5961
13.7,18.6,10.8,0.0,18.3,42.8,55.7,Partially cloudy,M.C.G.,2016-08-28,-37.82,144.9834
16.5,25.0,7.4,0.0,18.9,31.0,63.7,Clear,Carrara,2020-08-28,-28.0067,153.3667
19.0,29.7,9.3,0.0,15.4,32.0,51.6,Clear,Marvel Stadium,2019-04-20,-37.8165,144.9475
11.2,15.3,8.1,6.984,20.9,59.8,70.5,"Rain, Partially cloudy",M.C.G.,2017-05-28,-37.82,144.9834
14.5,17.6,11.8,0.313,18.2,41.4,64.2,"Rain, Partially cloudy",Docklands,2017-04-02,-37.8165,144.9475
14.2,19.0,11.5,0.126,20.5,40.3,62.8,"Rain, Partially cloudy",Adelaide Oval,2024-05-02,-34.9156,138.5961
9.4,12.9,5.2,0.067,14.8,34.9,79.6,"Rain, Partially cloudy",Adelaide Oval,2020-08-09,-34.9156,138.5961
16.9,18.8,15.7,10.422,36.2,38.5,89.9,"Rain, Partially cloudy",Carrara,2015-06-13,-28.0067,153.3667
7.3,15.1,-1.1,0.308,23.4,34.6,81.2,"Rain, Partially cloudy",Manuka Oval,2023-05-06,-35.3178,149.1347
20.6,27.6,14.9,0.0,14.0,31.3,56.0,Partially cloudy,Docklands,2022-04-16,-37.8165,144.9475
7.8,12.8,2.2,0.001,27.7,52.6,70.7,"Rain, Partially cloudy",M.C.G.,2022-07-30,-37.82,144.9834
14.8,21.6,7.1,0.0,13.0,31.0,51.0,Clear,Gabba,2023-07-08,-27.4858,153.0381
19.1,26.7,13.0,0.0,35.2,0.0,55.7,Partially cloudy,M.C.G.,2012-04-15,-37.82,144.9834
18.0,23.8,14.7,0.0,29.5,34.2,54.9,Partially cloudy,Adelaide Oval,2014-05-15,-34.9156,138.5961
9.6,13.8,7.0,0.0,24.1,40.0,81.8,Partially cloudy,Kardinia Park,2022-07-07,-38.1581,144.3547
16.5,23.1,9.8,0.0,27.9,0.0,34.3,Clear,S.C.G.,2013-08-18,-33.8917,151.2247
25.6,34.3,18.1,0.0,13.1,41.0,57.2,Partially cloudy,M.C.G.,2025-03-15,-37.82,144.9834
10.5,13.1,8.2,3.943,30.2,73.4,66.3,"Rain, Partially cloudy",M.C.G.,2023-06-25,-37.82,144.9834
15.4,22.9,8.0,0.0,20.2,0.0,76.4,Partially cloudy,M.C.G.,2013-04-05,-37.82,144.9834
16.2,24.8,7.4,0.003,16.2,27.0,64.9,Rain,Carrara,2023-06-25,-28.0067,153.3667
11.7,17.3,7.4,0.0,23.3,0.0,65.2,Clear,Sydney Showground,2013-06-16,-33.8447,151.0697
21.6,30.2,17.5,0.291,23.4,47.5,60.1,"Rain, Partially cloudy",Docklands,2025-04-18,-37.8165,144.9475
24.6,29.0,21.8,0.001,22.3,34.6,73.8,"Rain, Partially cloudy",Cazaly's Stadium,2020-09-20,-16.9203,145.7531
10.4,14.9,7.2,6.977,14.2,38.9,77.1,"Rain, Partially cloudy",Docklands,2021-08-01,-37.8165,144.9475
10.3,13.3,8.0,2.926,13.6,0.0,90.8,"Rain, Partially cloudy",Docklands,2012-07-13,-37.8165,144.9475
8.8,13.3,5.1,0.007,9.5,23.4,73.9,"Rain, Partially cloudy",M.C.G.,2016-06-12,-37.82,144.9834
15.1,21.4,9.6,0.0,12.6,24.1,71.4,Partially cloudy,Docklands,2018-04-07,-37.8165,144.9475
9.8,14.2,6.6,2.104,27.5,0.0,85.5,"Rain, Partially cloudy",Docklands,2012-07-28,-37.8165,144.9475
15.2,18.3,11.6,0.247,26.3,0.0,63.3,"Rain, Partially cloudy",Subiaco,2013-08-11,-31.9444,115.8308
19.5,24.3,16.6,7.137,21.1,33.5,86.0,"Rain, Overcast",M.C.G.,2014-03-27,-37.82,144.9834
20.8,24.1,17.1,0.59,18.7,46.8,52.6,"Rain, Partially cloudy",M.C.G.,2018-04-24,-37.82,144.9834
16.7,20.8,12.8,0.01,13.2,20.5,86.2,"Rain, Partially cloudy",Sydney Showground,2025-05-17,-33.8447,151.0697
7.3,8.8,6.0,2.4,17.6,31.7,99.1,"Rain, Overcast",Traeger Park,2023-07-02,-23.7,133.8667
14.8,24.3,7.3,0.0,15.8,28.1,51.1,Clear,Optus Stadium,2018-05-20,-31.9512,115.8891
11.5,13.8,9.9,0.505,31.7,55.8,71.6,"Rain, Partially cloudy",M.C.G.,2014-05-02,-37.82,144.9834
22.0,27.9,17.8,0.0,23.6,23.0,73.5,Partially cloudy,Carrara,2014-04-26,-28.0067,153.3667
22.2,24.4,20.0,1.277,29.4,61.6,78.9,"Rain, Partially cloudy",Subiaco,2015-04-10,-31.9444,115.8308
12.3,17.2,8.3,0.0,10.3,50.0,63.0,Partially cloudy,S.C.G.,2021-06-05,-33.8917,151.2247
15.3,19.2,12.6,0.0,22.0,41.4,52.5,Overcast,Perth Stadium,2025-06-29,-31.9512,115.8891
7.6,10.1,5.3,4.979,24.5,46.4,85.9,"Rain, Partially cloudy",M.C.G.,2014-07-12,-37.82,144.9834
21.7,26.0,18.4,0.202,18.9,50.8,66.2,"Rain, Partially cloudy",Perth Stadium,2023-03-26,-31.9512,115.8891
