game_id,year,round,source,sourceid,tip,confidence,hconfidence,margin,hmargin,correct,err
8,2017,1,Squiggle,1,Adelaide,50.00,50.00,3.00,3.00,1.0,53.00
8,2017,1,The Arc,2,Adelaide,62.60,62.60,11.00,11.00,1.0,45.00
8,2017,1,Figuring Footy,3,Adelaide,63.20,63.20,,,1.0,
8,2017,1,Matter of Stats,4,Adelaide,71.10,71.10,17.87,17.87,1.0,38.13
8,2017,1,Punters,5,Greater Western Sydney,52.49,47.51,,,0.0,
8,2017,1,FMI,6,Adelaide,62.00,62.00,15.00,15.00,1.0,41.00
8,2017,1,PlusSixOne,7,Adelaide,51.01,51.01,2.00,2.00,1.0,54.00
8,2017,1,Aggregate,8,Adelaide,58.94,58.94,10.65,10.65,1.0,45.35
8,2017,1,Graft,9,Adelaide,64.07,64.07,15.00,15.00,1.0,41.00
1,2017,1,Squiggle,1,Richmond,50.00,50.00,1.00,-1.00,1.0,42.00
1,2017,1,The Arc,2,Richmond,58.80,41.20,8.00,-8.00,1.0,35.00
1,2017,1,Figuring Footy,3,Richmond,58.00,42.00,,,1.0,
1,2017,1,Matter of Stats,4,Carlton,56.70,56.70,5.39,5.39,0.0,48.39
1,2017,1,Punters,5,Richmond,68.39,31.61,,,1.0,
1,2017,1,FMI,6,Richmond,55.00,45.00,8.00,-8.00,1.0,35.00
1,2017,1,PlusSixOne,7,Richmond,52.16,47.84,3.00,-3.00,1.0,40.00
1,2017,1,Aggregate,8,Richmond,54.58,45.42,2.60,-2.60,1.0,40.40
1,2017,1,Graft,9,Richmond,51.01,48.99,1.00,-1.00,1.0,42.00
2,2017,1,Squiggle,1,Western Bulldogs,62.00,38.00,17.00,-17.00,1.0,3.00
2,2017,1,The Arc,2,Western Bulldogs,64.10,35.90,13.00,-13.00,1.0,1.00
2,2017,1,Figuring Footy,3,Western Bulldogs,59.30,40.70,,,1.0,
2,2017,1,Matter of Stats,4,Western Bulldogs,62.70,37.30,10.31,-10.31,1.0,3.69
2,2017,1,Punters,5,Western Bulldogs,68.54,31.46,,,1.0,
2,2017,1,FMI,6,Western Bulldogs,65.00,35.00,21.00,-21.00,1.0,7.00
2,2017,1,PlusSixOne,7,Western Bulldogs,53.31,46.69,5.00,-5.00,1.0,9.00
2,2017,1,Aggregate,8,Western Bulldogs,62.16,37.84,13.22,-13.22,1.0,0.78
2,2017,1,Graft,9,Western Bulldogs,62.33,37.67,13.00,-13.00,1.0,1.00
6,2017,1,Squiggle,1,Hawthorn,82.00,18.00,51.00,-51.00,0.0,76.00
6,2017,1,The Arc,2,Hawthorn,83.50,16.50,35.00,-35.00,0.0,60.00
6,2017,1,Figuring Footy,3,Hawthorn,84.00,16.00,,,0.0,
6,2017,1,Matter of Stats,4,Hawthorn,77.90,22.10,25.03,-25.03,0.0,50.03
6,2017,1,Punters,5,Hawthorn,68.54,31.46,,,0.0,
6,2017,1,FMI,6,Hawthorn,88.00,12.00,60.00,-60.00,0.0,85.00
6,2017,1,PlusSixOne,7,Hawthorn,65.97,34.03,26.00,-26.00,0.0,51.00
6,2017,1,Aggregate,8,Hawthorn,79.48,20.52,40.51,-40.51,0.0,65.51
6,2017,1,Graft,9,Hawthorn,85.93,14.07,46.00,-46.00,0.0,71.00
9,2017,1,Squiggle,1,Geelong,70.00,30.00,29.00,-29.00,1.0,13.00
9,2017,1,The Arc,2,Geelong,65.20,34.80,14.00,-14.00,1.0,28.00
9,2017,1,Figuring Footy,3,Geelong,66.60,33.40,,,1.0,
9,2017,1,Matter of Stats,4,Geelong,77.70,22.30,24.80,-24.80,1.0,17.20
9,2017,1,Punters,5,Geelong,57.40,42.60,,,1.0,
9,2017,1,FMI,6,Geelong,71.00,29.00,29.00,-29.00,1.0,13.00
9,2017,1,PlusSixOne,7,Geelong,62.13,37.87,20.00,-20.00,1.0,22.00
9,2017,1,Aggregate,8,Geelong,67.78,32.22,23.63,-23.63,1.0,18.37
9,2017,1,Graft,9,Geelong,72.19,27.81,25.00,-25.00,1.0,17.00
5,2017,1,Squiggle,1,Gold Coast,65.00,65.00,22.00,22.00,0.0,24.00
5,2017,1,The Arc,2,Gold Coast,71.10,71.10,19.00,19.00,0.0,21.00
5,2017,1,Figuring Footy,3,Gold Coast,63.90,63.90,,,0.0,
5,2017,1,Matter of Stats,4,Gold Coast,61.80,61.80,9.55,9.55,0.0,11.55
5,2017,1,Punters,5,Gold Coast,74.40,74.40,,,0.0,
5,2017,1,FMI,6,Gold Coast,78.00,78.00,39.00,39.00,0.0,41.00
5,2017,1,PlusSixOne,7,Gold Coast,58.55,58.55,14.00,14.00,0.0,16.00
