year,round,team,player,type
2026,6,Carlton,A Cerra,selected
2026,6,Carlton,B Ainsworth,selected
2026,6,Carlton,B Kemp,selected
2026,6,Carlton,E Hollands,selected
2026,6,Carlton,F Evans,selected
2026,6,Carlton,H Dean,selected
2026,6,Carlton,H McKay,selected
2026,6,Carlton,J Smith,selected
2026,6,Carlton,J Weitering,selected
2026,6,Carlton,L Cowan,selected
2026,6,Carlton,L Young,selected
2026,6,Carlton,M Carroll,selected
2026,6,Carlton,M McGovern,selected
2026,6,Carlton,M Pittonet,selected
2026,6,Carlton,N Haynes,selected
2026,6,Carlton,N Newman,selected
2026,6,Carlton,O Florent,selected
2026,6,Carlton,O Hollands,selected
2026,6,Carlton,P Cripps,selected
2026,6,Carlton,S Walsh,selected
2026,6,Carlton,T Byrne,selected
2026,6,Carlton,W Hayward,selected
2026,6,Carlton,Z Williams,selected
2026,6,Carlton,L Reidy,emergency
2026,6,Carlton,F Young,emergency
2026,6,Carlton,J Boyd,emergency
2026,6,Collingwood,A Anderson,selected
2026,6,Collingwood,B Frampton,selected
2026,6,Collingwood,B Maynard,selected
2026,6,Collingwood,B McCreery,selected
2026,6,Collingwood,D Cameron,selected
2026,6,Collingwood,D Houston,selected
2026,6,Collingwood,D McStay,selected
2026,6,Collingwood,E Allan,selected
2026,6,Collingwood,H Perryman,selected
2026,6,Collingwood,I Quaynor,selected
2026,6,Collingwood,J Crisp,selected
2026,6,Collingwood,J Daicos,selected
2026,6,Collingwood,J Elliott,selected
2026,6,Collingwood,J Howe,selected
2026,6,Collingwood,L Schultz,selected
2026,6,Collingwood,N Daicos,selected
2026,6,Collingwood,N Long,selected
2026,6,Collingwood,O Steene,selected
2026,6,Collingwood,P Lipinski,selected
2026,6,Collingwood,R Steele,selected
2026,6,Collingwood,S Pendlebury,selected
2026,6,Collingwood,T Membrey,selected
2026,6,Collingwood,W Hayes,selected
2026,6,Collingwood,W Parker,emergency
2026,6,Collingwood,L Sullivan,emergency
2026,6,Collingwood,J Buller,emergency
2026,6,Geelong,B Smith,selected
2026,6,Geelong,C O'Sullivan,selected
2026,6,Geelong,J Bowes,selected
2026,6,Geelong,J Cameron,selected
2026,6,Geelong,J Kolodjashnij,selected
2026,6,Geelong,J Martin,selected
2026,6,Geelong,J Worpel,selected
2026,6,Geelong,L Humphries,selected
2026,6,Geelong,M Blicavs,selected
2026,6,Geelong,M Edwards,selected
2026,6,Geelong,M Holmes,selected
2026,6,Geelong,O Dempsey,selected
2026,6,Geelong,O Henry,selected
2026,6,Geelong,O Mullin,selected
2026,6,Geelong,O Wiltshire,selected
2026,6,Geelong,P Dangerfield,selected
2026,6,Geelong,S De Koning,selected
2026,6,Geelong,S Mannagh,selected
2026,6,Geelong,S Neale,selected
2026,6,Geelong,T Atkins,selected
2026,6,Geelong,T Bruhn,selected
2026,6,Geelong,T Stewart,selected
2026,6,Geelong,Z Guthrie,selected
